,RL50 (kPa),Location,lat,lon,rlat,rlon
460,0.471,Buckingham,45.59,-75.42,0.162,14.915
461,0.377,Campbell's Bay,45.73,-76.6,0.08,14.082
462,0.427,Chambly,45.45,-73.29,0.452,16.386
463,0.402,Coaticook,45.13,-71.8,0.467,17.481
464,0.455,Contrecoeur,45.86,-73.24,0.854,16.297
465,0.421,Cowansville,45.21,-72.74,0.339,16.826
466,0.449,Deux-Montagnes,45.54,-73.89,0.415,15.957
467,0.299,Dolbeau,48.88,-72.23,3.939,16.033
468,0.409,Drummondville,45.88,-72.48,1.032,16.796
469,0.42,Farnham,45.28,-72.98,0.355,16.644
470,0.371,Fort-Coulonge,45.84,-76.73,0.163,13.967
471,0.253,Gagnon,51.93,-68.17,7.677,17.46
472,0.507,Gaspé,48.82,-64.48,5.69,20.838
473,0.476,Gatineau,45.43,-75.71,-0.046,14.762
474,0.388,Gracefield,46.1,-76.05,0.537,14.356
475,0.425,Granby,45.4,-72.72,0.524,16.782
476,0.443,Harrington-Harbour,50.5,-59.48,8.589,23.066
477,0.549,Havre-St-Pierre,50.25,-63.59,7.232,20.788
478,0.409,Hemmingford,45.05,-73.59,0.007,16.302
479,0.476,Hull,45.43,-75.71,-0.046,14.762
480,0.419,Iberville,45.3,-73.23,0.321,16.47
481,0.195,Inukjuak,58.45,-78.1,12.166,9.984
482,0.488,Joliette,46.02,-73.44,0.965,16.117
483,0.202,Kuujjuaq,58.1,-68.4,13.385,15.071
484,0.191,Kuujjuarapik,55.28,-77.76,9.139,10.959
485,0.44,La Pocatière,47.37,-70.03,2.983,17.913
486,0.477,Lachute,45.66,-74.34,0.439,15.621
487,0.316,Lac-Mégantic,45.57,-70.88,1.09,17.954
488,0.417,La-Malbaie,47.65,-70.15,3.22,17.743
489,0.377,La-Tuque,47.44,-72.78,2.456,16.125
490,0.363,Lennoxville,45.37,-71.86,0.682,17.366
491,0.428,Léry,45.34,-73.81,0.24,16.069
492,0.47,Loretteville,46.85,-71.36,2.195,17.227
493,0.47,Louiseville,46.26,-72.94,1.298,16.376
494,0.414,Magog,45.26,-72.15,0.514,17.207
495,0.291,Malartic,48.14,-78.13,2.156,12.473
496,0.366,Maniwaki,46.37,-75.98,0.81,14.331
497,0.471,Masson,45.54,-75.41,0.116,14.935
498,0.34,Matane,48.84,-67.53,4.943,18.966
499,0.323,Mont-Joli,48.59,-68.19,4.553,18.649
500,0.387,Mont-Laurier,46.55,-75.5,1.072,14.602
501,0.461,Montmagny,46.98,-70.56,2.495,17.702
502,0.438,Beaconsfield,45.42,-73.87,0.304,16.005
503,0.548,Dorval,46.44,-73.73,1.308,15.802
504,0.455,Laval,45.55,-73.75,0.453,16.048
505,0.446,Montréal (city hall),45.51,-73.55,0.455,16.194
506,0.446,Montréal-Est,45.63,-73.52,0.576,16.179
507,0.451,Montréal-Nord,45.59,-73.64,0.513,16.11
508,0.451,Outremont,45.51,-73.61,0.443,16.153
509,0.444,Pierrefonds,45.5,-73.85,0.385,15.995
510,0.438,St-Lambert,45.5,-73.51,0.454,16.223
511,0.458,St-Laurent,45.51,-73.68,0.429,16.107
512,0.438,Ste-Anne-de-Bellevue,45.4,-73.95,0.268,15.957
513,0.451,Verdun,45.46,-73.57,0.403,16.195
514,0.408,Nicolet (Gentilly),46.4,-72.28,1.57,16.768
515,0.21,Nitchequon,53.19,-70.91,8.289,15.443
516,0.299,Noranda,48.24,-79.02,2.114,11.872
517,0.53,Percé,48.52,-64.21,5.487,21.122
518,0.435,Pincourt,45.36,-73.98,0.224,15.949
519,0.404,Plessisville,46.22,-71.77,1.508,17.159
520,0.46,Port-Cartier,50.02,-66.88,6.196,18.924
521,0.211,Puvinrituq,60.04,-77.27,13.812,9.998
522,0.467,Ancienne-Lorette,46.8,-71.36,2.148,17.243
523,0.453,Lévis,46.76,-71.24,2.136,17.334
524,0.458,Québec,46.81,-71.21,2.19,17.337
525,0.453,Sillery,46.77,-71.25,2.144,17.324
526,0.46,Ste-Foy,46.78,-71.28,2.147,17.301
527,0.395,Richmond,45.67,-72.15,0.903,17.08
528,0.349,Rimouski,48.45,-68.53,4.342,18.487
529,0.349,Rivière-du-Loup,47.84,-69.54,3.537,18.065
530,0.256,Roberval,48.52,-72.22,3.599,16.151
531,0.416,Rock-Island,45.01,-72.1,0.287,17.318
532,0.457,Rosemère,45.64,-73.79,0.531,15.995
533,0.299,Rouyn,48.24,-79.02,2.114,11.872
534,0.286,Saguenay,48.43,-71.06,3.757,16.91
535,0.298,Saguenay (Bagotville),48.34,-70.88,3.71,17.053
536,0.28,Saguenay (Jonquière),48.41,-71.25,3.697,16.797
537,0.28,Saguenay (Kénogami),48.43,-71.23,3.72,16.803
538,0.449,Saint-Eustache,45.56,-73.89,0.434,15.951
539,0.418,Saint-Jean-sur-Richelieu,45.31,-73.25,0.326,16.454
540,0.437,Salaberry-de-Valleyfield,45.26,-74.13,0.098,15.876
541,0.238,Schefferville,54.8,-66.82,10.642,17.149
542,0.288,Senneterre,48.39,-77.24,2.543,12.987
543,0.525,Sept-Îles,50.21,-66.21,6.534,19.253
544,0.474,Shawinigan,46.54,-72.75,1.604,16.417
545,0.391,Shawville,45.6,-76.49,-0.026,14.19
546,0.372,Sherbrooke,45.4,-71.89,0.704,17.337
547,0.448,Sorel,46.04,-73.11,1.052,16.33
548,0.533,Ste-Agathe-des-Monts,46.05,-74.28,0.825,15.55
549,0.278,St-Félicien,48.65,-72.45,3.675,15.966
550,0.346,St-Georges-de-Cacouna,47.92,-69.5,3.621,18.063
551,0.435,St-Hubert,45.51,-73.43,0.48,16.274
552,0.319,St-Hubert-de-Rivière-du-Loup,47.82,-69.15,3.608,18.319
553,0.431,St-Hyacinthe,45.63,-72.95,0.695,16.559
554,0.501,St-Jérôme,45.78,-74.0,0.622,15.814
555,0.503,St-Jovite,46.12,-74.6,0.83,15.317
556,0.443,St-Lazare-Hudson,45.4,-74.14,0.23,15.829
557,0.456,St-Nicolas,46.7,-71.4,2.044,17.249
558,0.422,Sutton,45.11,-72.62,0.269,16.937
559,0.4,Tadoussac,48.14,-69.72,3.778,17.85
560,0.346,Témiscaming,46.72,-79.1,0.622,12.165
561,0.458,Terrebonne,45.69,-73.63,0.611,16.087
562,0.357,Thetford Mines,46.09,-71.3,1.488,17.509
563,0.475,Thurso,45.6,-75.24,0.206,15.033
564,0.416,Trois-Rivières,46.34,-72.54,1.458,16.616
565,0.288,Val-d'Or,48.1,-77.79,2.171,12.703
566,0.445,Varennes,45.68,-73.44,0.641,16.217
567,0.44,Verchères,45.78,-73.36,0.753,16.241
568,0.394,Victoriaville,46.06,-71.96,1.315,17.084
569,0.311,Ville-Marie,47.33,-79.44,1.164,11.802
570,0.431,Wakefield,45.64,-75.93,0.115,14.558
571,0.423,Waterloo,45.34,-72.52,0.51,16.934
572,0.386,Windsor,45.57,-72.01,0.839,17.204
573,0.624,Alma,45.6,-64.95,2.606,21.818
574,0.42,Bathurst,47.62,-65.65,4.281,20.589
575,0.292,Campbellton,48.01,-66.68,4.38,19.799
576,0.402,Edmundston,47.36,-68.33,3.37,18.999
577,0.573,Fredericton,45.96,-66.64,2.488,20.591
578,0.626,Gagetown,45.78,-66.15,2.449,20.975
579,0.429,Grand Falls,47.04,-67.74,3.215,19.489
580,0.473,Miramichi,47.0,-65.57,3.73,20.878
581,0.548,Moncton,46.09,-64.76,3.109,21.748
582,0.599,Oromocto,45.84,-66.51,2.41,20.719
583,0.524,Sackville,45.89,-64.37,3.032,22.076
584,0.754,Saint Andrews ,45.07,-67.05,1.555,20.654
585,0.755,Saint George ,45.13,-66.82,1.671,20.782
586,0.674,Saint John,45.27,-66.06,2.001,21.226
587,0.504,Shippagan,47.74,-64.71,4.638,21.127
588,0.733,St. Stephen,45.19,-67.28,1.607,20.459
589,0.541,Woodstock,46.16,-67.57,2.437,19.916
590,0.518,Amherst,45.83,-64.21,3.022,22.202
591,0.636,Antigonish,45.62,-61.99,3.469,23.704
592,0.636,Bridgewater,45.62,-61.99,3.469,23.704
593,0.806,Canso,45.34,-61.0,3.513,24.452
594,0.75,Dartmouth,44.66,-63.57,2.133,23.087
595,0.567,Debert,45.44,-63.46,2.877,22.841
596,0.65,Digby,44.62,-65.76,1.481,21.671
597,0.59,Greenwood (CFB),44.98,-64.9,2.049,22.094
598,0.74,Halifax,44.65,-63.58,2.121,23.085
599,0.567,Kentville,45.08,-64.49,2.255,22.321
600,0.713,Liverpool,44.04,-64.72,1.235,22.582
601,0.648,Lockeport,43.7,-65.11,0.812,22.456
602,0.812,Louisburg,45.92,-59.97,4.351,24.845
603,0.741,Lunenburg,44.38,-64.31,1.664,22.717
604,0.546,New Glasgow,45.59,-62.64,3.25,23.303
605,0.795,North Sydney,46.21,-60.26,4.522,24.535
606,0.533,Pictou,45.68,-62.71,3.312,23.221
607,0.756,Port Hawkesbury,45.62,-61.35,3.66,24.109
608,0.546,Springhill,45.65,-64.06,2.899,22.371
609,0.643,Stewiacke,45.14,-63.35,2.634,23.034
610,0.807,Sydney,46.14,-60.2,4.477,24.603
611,0.542,Tatamagouche,45.71,-63.29,3.172,22.839
612,0.567,Truro,45.37,-63.28,2.864,22.985
613,0.567,Wolfville,45.09,-64.36,2.301,22.401
614,0.605,Yarmouth,43.84,-66.12,0.662,21.729
615,0.511,Charlottetown,46.24,-63.13,3.701,22.722
616,0.551,Souris,46.36,-62.26,4.06,23.22
617,0.493,Summerside,46.39,-63.79,3.652,22.244
618,0.519,Tignish,46.95,-64.03,4.097,21.866
619,0.526,Argentia,47.31,-53.99,7.53,27.809
620,0.48,Bonavista,48.66,-53.11,8.991,27.621
621,0.61,Buchans,48.82,-56.85,7.899,25.38
622,0.22,Cape Harrison,54.78,-57.95,12.809,21.876
623,0.671,Cape Race,46.66,-53.08,7.289,28.682
624,0.793,Channel-Port aux Basques,47.57,-59.14,6.08,24.609
625,0.463,Corner Brook,48.95,-57.95,7.67,24.675
626,0.382,Gander,48.95,-54.61,8.736,26.611
627,0.412,Grand Bank,47.1,-55.77,6.745,26.858
628,0.534,Grand Falls,48.95,-55.65,8.396,26.012
629,0.218,Happy Valley-Goose Bay,53.3,-60.34,10.849,21.304
630,0.486,Labrador City,51.37,-55.58,10.522,24.839
631,0.486,St. Anthony,51.38,-55.59,10.528,24.829
632,0.77,St. John's,47.56,-52.71,8.189,28.429
633,0.551,Stephenville,48.55,-58.56,7.129,24.503
634,0.229,Twin Falls,53.5,-64.53,9.967,18.919
635,0.847,Wabana,47.64,-52.95,8.173,28.248
636,0.245,Wabush,52.41,-66.87,8.416,18.031
637,0.06,Aishihik,61.6,-137.51,19.128,-19.087
638,0.087,Dawson,64.06,-139.44,21.686,-18.522
639,0.047,Destruction Bay,61.25,-138.8,19.144,-19.838
640,0.065,Faro,62.23,-133.36,18.732,-16.958
641,0.047,Haines Junction,60.75,-137.51,18.394,-19.541
642,0.055,Snag,62.4,-140.37,20.512,-19.858
643,0.103,Teslin,60.17,-132.72,16.758,-17.655
644,0.086,Watson Lake,60.06,-128.7,15.805,-15.817
645,0.061,Whitehorse,60.72,-135.05,17.778,-18.455
646,0.047,Aklavik,68.22,-135.01,24.319,-14.521
647,0.081,Echo Bay / Port Radium,66.05,-117.88,19.742,-8.842
648,0.053,Fort Good Hope,66.26,-128.63,21.45,-13.111
649,0.039,Fort McPherson ,67.43,-134.88,23.609,-14.903
650,0.077,Fort Providence,61.36,-117.66,15.205,-10.093
651,0.128,Fort Resolution,61.17,-113.67,14.553,-8.216
652,0.074,Fort Simpson,61.86,-121.36,16.199,-11.688
653,0.168,Fort Smith,60.01,-111.88,13.236,-7.577
654,0.092,Hay River,60.81,-115.79,14.441,-9.336
655,0.046,Inuvik,68.36,-133.73,24.209,-13.993
656,0.0,Mould Bay,76.23,-119.33,29.593,-5.97
657,0.051,Norman Wells,65.28,-126.83,20.256,-12.811
658,0.094,Rae-Edzo,62.83,-116.05,16.428,-8.939
659,0.102,Tungsten,61.95,-128.27,17.452,-14.825
660,0.058,Ulukhaqtuuq / Holman,70.74,-117.77,24.229,-7.37
661,0.072,Wrigley,63.23,-123.46,17.812,-12.169
662,0.181,Yellowknife,62.45,-114.38,15.875,-8.258
663,0.0,Alert,82.51,-62.31,36.214,5.276
664,0.145,Arctic Bay,73.03,-85.17,25.821,3.811
665,0.158,Arviat,61.11,-94.06,13.638,1.461
666,0.152,Baker Lake,64.32,-96.02,16.823,0.444
667,0.0,Eureka,79.99,-85.94,32.652,2.27
668,0.157,Igluligaarjuk / Chesterfield Inlet,63.34,-90.71,15.959,2.931
669,0.101,Iqaluit,63.75,-68.52,18.62,12.859
670,0.111,Iqaluktuuttiaq / Cambridge Bay,69.12,-105.05,21.78,-3.081
671,0.0,Isachsen,78.78,-103.53,31.342,-1.485
672,0.154,Kangiqiniq / Rankin Inlet,62.81,-92.09,15.383,2.325
673,0.078,Kanngiqtugaapik / Clyde River,70.47,-68.59,24.83,10.093
674,0.082,Kugluktuk,67.83,-115.1,21.174,-7.223
675,0.184,Nottingham Island,63.12,-77.93,16.711,8.872
676,0.0,Resolute,74.7,-94.83,27.209,0.644
677,0.07,Resolution Island,61.31,-64.87,17.032,15.488
678,0.119,Salliq / Coral Harbour,64.14,-83.17,17.198,6.266
